,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
PSUIN300273MICRO0113462,Q3,FY19,Microfinance,PSU Bank,Microfinance Loan,130200,53382,24,1532640,N,M
NBFCIN16AUTO35553AWQ,Q3,FY19,Retail,NBFC,Auto Loans,237354,52729,57,3583580,N,M
NBFCIN76AUTO13532,Q3,FY20,Retail,NBFC,Auto Loans,261388,84239,40,2846800,N,M
IC00160AUL15736,Q3,FY21,Retail,PVT Bank,Auto Loans,391820,410657,38,5327245,N,M
PSUNAUTO43LOA30031,Q3,FY19,Retail,PSU Bank,Auto Loans,258440,105960,43,2870175,N,F
PSUNAUTO249LOA40030,Q3,FY21,Retail,PSU Bank,Auto Loans,296501,115831,51,3963604,N,F
PSUNAUTO426LOA502,Q3,FY21,Retail,PSU Bank,Auto Loans,2057577,815117,36,19230436,N,M
PVTN34CCL2947,Q3,FY19,Retail,PVT Bank,Credit Card,29610,11065,36,347672,N,M
PVTN59CCL454,Q3,FY21,Retail,PVT Bank,Credit Card,24310,8508,51,367098,N,M
PVTN48CCL4242,Q3,FY19,Retail,PVT Bank,Credit Card,28449,9761,55,440964,N,M
PVTN21CCL8995,Q3,FY20,Retail,PVT Bank,Credit Card,30498,18729,51,457496,N,M
PSUN30CC1185,Q3,FY21,Retail,PSU Bank,Credit Card,14873,4047,30,610050,N,M
PVTN56CCL3547,Q3,FY21,Retail,PVT Bank,Credit Card,26818,7438,59,688771,N,M
PSUN36CC5018,Q3,FY19,Retail,PSU Bank,Credit Card,35424,22461,57,673680,N,F
PVTN45CCL12002,Q3,FY19,Retail,PVT Bank,Credit Card,49648,23385,43,675360,Y,M
PVTN54CCL5713,Q3,FY19,Retail,PVT Bank,Credit Card,31937,12724,55,677040,Y,F
PVTN60CCL6092,Q3,FY19,Retail,PVT Bank,Credit Card,29975,12221,26,658318,N,F
PVTN48CCL7680,Q3,FY21,Retail,PVT Bank,Credit Card,18939,11012,48,770880,Y,M
NBFCINCC30ZA07290,Q3,FY19,Retail,NBFC,Credit Card,39794,11914,30,719625,N,M
PVTN61CCL11796,Q3,FY20,Retail,PVT Bank,Credit Card,20196,9147,55,771042,Y,F
PVTN84CCL6588,Q3,FY19,Retail,PVT Bank,Credit Card,19260,6741,44,779328,Y,M
PVTN15CCL715,Q3,FY19,Retail,PVT Bank,Credit Card,21320,5432,35,792396,Y,M
NBFCINCC30ZA04375,Q3,FY21,Retail,NBFC,Credit Card,32421,19779,30,778811,N,F
NBFCINCC30ZA012158,Q3,FY20,Retail,NBFC,Credit Card,27248,16506,25,791418,N,M
PVTN33CCL11216,Q3,FY20,Retail,PVT Bank,Credit Card,26500,15120,30,856980,N,M
PVTN41CCL11159,Q3,FY20,Retail,PVT Bank,Credit Card,28222,8439,43,820120,Y,M
PSUN92CC8058,Q3,FY20,Retail,PSU Bank,Credit Card,29040,11510,28,874965,N,M
PSUN31CC7120,Q3,FY21,Retail,PSU Bank,Credit Card,41623,13358,36,921470,Y,M
PSUN89CC8334,Q3,FY20,Retail,PSU Bank,Credit Card,34542,11850,36,863861,Y,M
PSUN30CC6721,Q3,FY19,Retail,PSU Bank,Credit Card,26162,8615,49,912492,N,M
PVTN50CCL11797,Q3,FY21,Retail,PVT Bank,Credit Card,33330,18628,24,854561,N,M
PVTN33CCL3246,Q3,FY19,Retail,PVT Bank,Credit Card,31008,16580,51,917385,Y,M
PVTN88CCL5262,Q3,FY21,Retail,PVT Bank,Credit Card,25190,15333,39,917385,N,M
NBFCINCC30ZA08834,Q3,FY20,Retail,NBFC,Credit Card,15768,6190,29,939567,N,M
PVTN8CCL7819,Q3,FY19,Retail,PVT Bank,Credit Card,32832,17054,40,935238,Y,F
NBFCINCC30ZA01388,Q3,FY20,Retail,NBFC,Credit Card,23735,12666,47,931424,N,M
NBFCINCC30ZA01156,Q3,FY21,Retail,NBFC,Credit Card,27648,14766,58,1007208,Y,M
PVTN75CCL11967,Q3,FY20,Retail,PVT Bank,Credit Card,29150,14185,56,1040623,Y,F
NBFCINCC30ZA010993,Q3,FY21,Retail,NBFC,Credit Card,29370,13889,39,1000480,N,F
PSUN34CC4755,Q3,FY21,Retail,PSU Bank,Credit Card,20240,8624,50,1082655,Y,M
PSUN62CC2940,Q3,FY19,Retail,PSU Bank,Credit Card,31512,15886,42,1332738,N,M
PVTN83CCL8329,Q3,FY20,Retail,PVT Bank,Credit Card,34216,14298,33,1377810,Y,M
NBFCIN060TWL14,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,39600,23364,43,952514,N,M
NBFCIN060TWL91,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,47080,31174,52,98674,Y,M
NBFCIN372TWL8864,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,48410,32754,35,768600,N,M
NBFCIN499TWL3933,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,49050,28890,44,1167156,N,M
NBFCIN102TWL4887,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,51450,30683,28,882573,N,F
NBFCIN230TWL8222,Q3,FY21,Retail,NBFC,Two-Wheeler Loan,73130,44730,40,1003065,N,M
NBFCIN113TWL10154,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,58300,33099,50,280348,N,M
NBFCIN216TWL11366,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,75480,45066,42,658469,N,M
NBFCIN303TWL1196,Q3,FY21,Retail,NBFC,Two-Wheeler Loan,69550,46052,47,145146,N,M
NBFCIN136TWL5319,Q3,FY21,Retail,NBFC,Two-Wheeler Loan,54000,35175,37,1350480,N,M
NBFCIN40TWL10907,Q3,FY21,Retail,NBFC,Two-Wheeler Loan,53550,30574,39,1264400,N,M
NBFCIN377TWL11181,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,56650,33330,60,527350,N,M
NBFCIN196TWL11337,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,74800,44125,50,1118430,N,M
NBFCIN438TWL3797,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,61200,44940,29,668001,Y,M
IC0700TWL15,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,53000,31800,55,554894,N,M
IC0700TWL633,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,65520,44635,45,1207680,N,M
IC0700TWL64,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,56710,33188,38,752400,Y,M
PVTN345TWL10235,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,76300,47586,33,998070,Y,M
PVTN257TWL8524,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,60900,40959,27,749325,Y,M
PVTN187TWL2306,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,62540,35854,44,713062,Y,M
PVTN16TWL2657,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,57120,33868,47,375570,N,M
PVTN346TWL12463,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,59400,35996,47,186348,N,M
PVTN105TWL915,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,92650,51408,24,1368432,N,M
PVTN497TWL6724,Q3,FY20,Retail,NBFC,Two-Wheeler Loan,55590,36133,53,516075,Y,F
PVTN180TWL8023,Q3,FY19,Retail,NBFC,Two-Wheeler Loan,64900,41724,45,699673,N,M
PVTN224TWL8271,Q3,FY21,Retail,PVT Bank,Two-Wheeler Loan,59400,22093,30,649632,N,M
PVTN234TWL3755,Q3,FY19,Retail,PVT Bank,Two-Wheeler Loan,52430,20972,51,447947,N,M
PVTN301TWL7612,Q3,FY19,Retail,PVT Bank,Two-Wheeler Loan,47840,15258,39,640660,N,M
PVTN318TWL11,Q3,FY19,Retail,PVT Bank,Two-Wheeler Loan,45900,15264,61,545508,N,M
PVTN349TWL3802,Q3,FY20,Retail,PVT Bank,Two-Wheeler Loan,62540,19068,47,1090232,N,F
PVTN414TWL1131,Q3,FY19,Retail,PVT Bank,Two-Wheeler Loan,72360,25326,55,720800,N,M
PVTN471TWL11034,Q3,FY20,Retail,PVT Bank,Two-Wheeler Loan,80560,28454,28,824721,Y,F
PVTN96TWL6240,Q3,FY21,Retail,PVT Bank,Two-Wheeler Loan,44290,14331,38,541736,Y,M
NBFCIN000COML314,Q4,FY20,Commercial,NBFC,Commercial Loan,22507200,4584800,28,8127600,N,M
NBFCIN000COML65,Q4,FY21,Commercial,NBFC,Commercial Loan,14015040,4716600,30,7344420,Y,M
NBFCIN000COML233,Q4,FY21,Commercial,NBFC,Commercial Loan,12807600,2586150,39,4941393,N,M
NBFCIN000COML434,Q4,FY19,Commercial,NBFC,Commercial Loan,9287100,3247450,52,3755812,N,M
PSUIN30072MICRO0132219,Q4,FY20,Commercial,PSU Bank,Commercial Loan,8461200,4230600,26,6345900,Y,M
NBFCIN0001182,Q4,FY20,Microfinance,NBFC,Microfinance Loan,7280,1838,27,651970,N,M
NBFCIN0001194,Q4,FY20,Microfinance,NBFC,Microfinance Loan,7140,2548,37,1376856,N,M
NBFCIN0001000,Q4,FY20,Microfinance,NBFC,Microfinance Loan,15400,5140,43,528081,N,M
NBFCIN00030,Q4,FY20,Microfinance,NBFC,Microfinance Loan,14840,5439,33,812020,N,F
NBFCIN0002027,Q4,FY21,Microfinance,NBFC,Microfinance Loan,15300,3937,35,626325,N,M
NBFCIN0002031,Q4,FY20,Microfinance,NBFC,Microfinance Loan,16050,5617,36,939781,Y,M
NBFCIN000293,Q4,FY21,Microfinance,NBFC,Microfinance Loan,16480,4160,60,718933,Y,M
NBFCIN000191,Q4,FY19,Microfinance,NBFC,Microfinance Loan,18530,5176,44,999336,Y,M
NBFCIN0001916,Q4,FY19,Microfinance,NBFC,Microfinance Loan,17340,6478,27,784680,N,M
NBFCIN0002022,Q4,FY21,Microfinance,NBFC,Microfinance Loan,18530,4590,45,393618,Y,M
NBFCIN000290L,Q4,FY19,Microfinance,NBFC,Microfinance Loan,18360,4335,37,700960,N,F
NBFCIN0002470,Q4,FY20,Microfinance,NBFC,Microfinance Loan,19080,5533,52,318648,N,M
NBFCIN0002493,Q4,FY19,Microfinance,NBFC,Microfinance Loan,19620,7063,43,906152,N,M
NBFCIN000778,Q4,FY20,Microfinance,NBFC,Microfinance Loan,26750,7155,55,665489,N,M
NBFCIN000739,Q4,FY19,Microfinance,NBFC,Microfinance Loan,26260,9547,43,972324,N,M
NBFCIN0002200,Q4,FY20,Microfinance,NBFC,Microfinance Loan,28890,8910,50,730627,N,F
NBFCIN000480,Q4,FY20,Microfinance,NBFC,Microfinance Loan,28350,8299,52,1098720,N,F
NBFCIN0001228,Q4,FY20,Microfinance,NBFC,Microfinance Loan,28280,10164,46,291200,N,M
NBFCIN000208,Q4,FY21,Microfinance,NBFC,Microfinance Loan,30800,8310,32,320978,N,M
NBFCIN0002243,Q4,FY19,Microfinance,NBFC,Microfinance Loan,35360,10914,55,810390,N,F
NBFCIN000793,Q4,FY21,Microfinance,NBFC,Microfinance Loan,36050,11609,26,851835,N,M
NBFCIN000798,Q4,FY20,Microfinance,NBFC,Microfinance Loan,36750,11648,43,975348,N,M
NBFCIN0002210,Q4,FY20,Microfinance,NBFC,Microfinance Loan,38520,9090,26,520448,Y,M
NBFCIN0001330,Q4,FY19,Microfinance,NBFC,Microfinance Loan,42840,11025,43,852060,N,M
NBFCIN000858Z,Q4,FY19,Microfinance,NBFC,Microfinance Loan,44940,13998,36,399253,N,M
NBFCIN0002386Y,Q4,FY20,Microfinance,NBFC,Microfinance Loan,47940,17108,40,990808,N,M
NBFCIN0001576,Q4,FY19,Microfinance,NBFC,Microfinance Loan,48480,16315,45,431169,N,M
NBFCIN0002407,Q4,FY20,Microfinance,NBFC,Microfinance Loan,48960,14832,46,866378,N,F
NBFCIN0001592,Q4,FY20,Microfinance,NBFC,Microfinance Loan,56680,13520,51,720120,N,M
NBFCIN000473,Q4,FY20,Microfinance,NBFC,Microfinance Loan,62640,17052,29,186576,Y,F
NBFCIN000237,Q4,FY20,Microfinance,NBFC,Microfinance Loan,64900,20862,30,589035,N,F
NBFCIN000971,Q4,FY20,Microfinance,NBFC,Microfinance Loan,76650,23214,28,918840,N,F
NBFCIN0001857,Q4,FY19,Microfinance,NBFC,Microfinance Loan,82840,23362,30,336194,N,M
NBFCIN000551,Q4,FY19,Microfinance,NBFC,Microfinance Loan,81620,24024,25,601898,N,M
NBFCIN000303,Q4,FY20,Microfinance,NBFC,Microfinance Loan,89040,28383,33,943205,N,M
NBFCIN0003H,Q4,FY19,Microfinance,NBFC,Microfinance Loan,93450,30838,56,912580,Y,M
NBFCIN000378,Q4,FY19,Microfinance,NBFC,Microfinance Loan,98700,30380,53,319464,N,M
NBFCIN00047,Q4,FY19,Microfinance,NBFC,Microfinance Loan,123120,41496,66,728280,N,M
NBFCIN000300D,Q4,FY19,Microfinance,NBFC,Microfinance Loan,131440,44702,36,443827,N,M
PVT00MICROV1378,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,6360,2727,38,805710,N,F
PVT00MICROV2083,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,7700,3393,56,1055011,N,M
PVT00MICROV2280,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,8560,4108,61,848565,N,F
PVT00MICROV14,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,16050,5938,32,197450,N,F
PVT00MICROV1747,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,15150,5355,33,594990,N,M
PVT00MICROV1895,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,16960,6097,22,316754,N,M
PVT00MICROV434,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,16640,5755,44,719576,N,M
PVT00MICROV918,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,17280,7084,41,830445,N,M
PVT00MICROV119,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,18190,8153,46,822666,Y,M
PVT00MICROV2278,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,17680,6895,40,644175,N,M
PVT00MICROV2204,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,18540,7259,50,955760,Y,M
PVT00MICROV1027,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,19760,8496,38,781515,N,M
PVT00MICROV1176,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,26500,10967,21,571446,N,F
PVT00MICROV715,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,27040,9282,34,891450,Y,M
PVT00MICROV1281,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,29160,10692,38,790088,N,M
PVT00MICROV2403,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,29700,12177,50,700336,N,F
PVT00MICROV1298,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,30240,11594,30,741085,N,M
PVT00MICROV1297,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,35700,14280,55,273268,N,M
PVT00MICROV1305,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,36040,12229,56,532008,N,M
PVT00MICROV936,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,36050,16170,29,683714,N,M
PVT00MICROV598,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,39240,15444,26,886174,N,M
PVT00MICROV1333,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,39390,13786,41,589360,N,M
PVT00MICROV84,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,44100,19089,51,1234661,N,F
PVT00MICROV1132,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,43430,17716,47,509747,Y,M
PVT00MICROV1634,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,47250,21780,35,440436,N,F
PVT00MICROV1344,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,57770,27984,36,157080,N,M
PVT00MICROV684,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,59590,27081,32,1668085,Y,M
PVT00MICROV787,Q4,FY21,Microfinance,PVT Bank,Microfinance Loan,77000,31815,40,1485645,N,M
PVT00MICROV1404,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,94600,38080,36,1491467,N,M
PVT00MICROV386,Q4,FY20,Microfinance,PVT Bank,Microfinance Loan,102300,31545,56,828576,N,F
PVT00MICROV994,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,94940,36077,32,706335,Y,M
PVT00MICROV1274,Q4,FY19,Microfinance,PVT Bank,Microfinance Loan,114450,44541,49,1420988,Y,M
PSUIN300244MICRO0113155,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,7350,2846,25,406296,N,M
PSUIN300260MICRO0111727,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,11330,4389,48,477326,N,F
PSUIN300476MICRO013677,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,15600,6580,35,338416,N,M
PSUIN300208MICRO0126311,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,17120,8272,45,387436,N,M
PSUIN300309MICRO0111725,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,17120,7180,36,340407,N,M
PSUIN300453MICRO0128480,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,17850,8032,25,342405,N,F
PSUIN30098MICRO0125099,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,26160,10785,41,341758,N,M
PSUIN300204MICRO0140442,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,26750,9100,56,347412,Y,F
PSUIN300161MICRO0169,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,25750,11287,64,288860,Y,M
PSUIN300108MICRO0129761,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,26780,10608,40,311163,N,M
PSUIN300401MICRO0137683,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,28080,12190,33,390280,Y,M
PSUIN300203MICRO016955,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,27540,12771,45,355100,Y,F
PSUIN300345MICRO0129377,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,29160,12271,29,420755,N,M
PSUIN300476MICRO012263,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,30240,12700,48,382083,N,M
PSUIN30022MICRO0126630,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,30240,11824,45,397116,N,M
PSUIN300284MICRO014909,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,32640,12326,51,363480,N,F
PSUIN300291MICRO0116272,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,33600,14035,44,283978,Y,M
PSUIN300403MICRO0129823,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,35640,14691,52,380192,N,M
PSUIN30070MICRO0147659,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,35310,13596,40,383194,Y,M
PSUIN30098MICRO0121451,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,36040,15136,38,404390,N,M
PSUIN300178MICRO0146765,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,35350,14469,30,388500,Y,M
PSUIN300422MICRO0121339,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,39600,13586,58,348516,Y,M
PSUIN30023MICRO0143170,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,38850,13338,24,397839,N,M
PSUIN3007MICRO0140825,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,41800,16416,48,355247,N,M
PSUIN300464MICRO0125721,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,48400,19844,35,309560,N,F
PSUIN30036MICRO0126941,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,49920,21878,32,327285,N,M
PSUIN300341MICRO0128469,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,51940,18522,36,334748,Y,M
PSUIN300382MICRO0139723,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,51450,17992,54,352054,Y,M
PSUIN300357MICRO0133063,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,52920,21280,45,341670,N,M
PSUIN30041MICRO015277,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,53000,23760,52,430678,N,M
PSUIN30062MICRO0128009,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,52020,20757,30,393645,Y,M
PSUIN300278MICRO0124396,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,53560,22880,36,341120,Y,M
PSUIN300444MICRO0122289,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,54080,21699,45,482130,N,M
PSUIN300123MICRO0144707,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,59400,24472,38,282540,N,F
PSUIN30073MICRO0149950,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,58860,22464,32,214812,N,F
PSUIN300437MICRO019293,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,57750,26378,26,340374,N,M
PSUIN300314MICRO01890,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,60320,24824,33,355116,N,F
PSUIN300204MICRO0118571,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,67100,23277,51,416635,N,F
PSUIN30053MICRO019040,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,66560,25459,60,239787,N,F
PSUIN300296MICRO013264,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,84800,34440,47,272272,N,M
PSUIN300486MICRO0116771,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,89100,37616,43,311884,Y,M
PSUIN300405MICRO0116045,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,85680,33255,48,494875,N,M
PSUIN30036MICRO0127679,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,89040,35380,53,259560,N,F
PSUIN30085MICRO0146159,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,96120,40948,32,355740,N,F
PSUIN300109MICRO019030,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,108000,38520,28,1326000,N,F
PSUIN300338MICRO0138315,Q4,FY19,Microfinance,PSU Bank,Microfinance Loan,109140,42757,48,1322520,N,F
PSUIN300333MICRO018606,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,115560,43092,49,1373760,N,M
PSUIN300159MICRO0117393,Q4,FY20,Microfinance,PSU Bank,Microfinance Loan,122100,49816,38,1048950,Y,M
PSUIN300354MICRO0149998,Q4,FY21,Microfinance,PSU Bank,Microfinance Loan,122720,55224,59,1203600,N,M
NBFCIN189AUTO32553A,Q4,FY20,Retail,NBFC,Auto Loans,256265,40236,48,1209475,Y,F
NBFCIN48AUTO2424,Q4,FY21,Retail,NBFC,Auto Loans,266385,86055,44,1935731,N,M
NBFCIN242AUTO8492,Q4,FY20,Retail,NBFC,Auto Loans,31675,30513,41,345232,N,M
NBFCIN20AUTO32153C,Q4,FY20,Retail,NBFC,Auto Loans,129589,133327,57,1358194,Y,M
IC00483AUL16834,Q4,FY20,Retail,PVT Bank,Auto Loans,254009,249217,36,1744520,N,M
PVTN76CCL12101,Q4,FY20,Retail,PVT Bank,Credit Card,33027,15053,40,101628,N,M
NBFCINCCL30AA01248,Q4,FY21,Retail,NBFC,Credit Card,33705,21073,53,188427,Y,M
NBFCINCCL30AA019239,Q4,FY21,Retail,NBFC,Credit Card,17264,8047,33,270088,N,M
PVTN9CCL3181,Q4,FY20,Retail,PVT Bank,Credit Card,17819,4767,30,448308,Y,M
NBFCINCCL30AA010579,Q4,FY21,Retail,NBFC,Credit Card,30740,12644,31,472920,N,F
PSUN90CC10811,Q4,FY19,Retail,PSU Bank,Credit Card,29744,13281,56,549328,N,M
PVTN27CCL10743,Q4,FY21,Retail,PVT Bank,Credit Card,28296,13755,55,580284,N,M
PSUN97CC11956,Q4,FY21,Retail,PSU Bank,Credit Card,28662,10812,50,564994,N,M
PVTN49CCL558,Q4,FY20,Retail,PVT Bank,Credit Card,28684,8977,53,641724,N,M
PVTN98CCL11169,Q4,FY19,Retail,PVT Bank,Credit Card,18952,4784,48,665861,Y,M
PVTN37CCL11736,Q4,FY20,Retail,PVT Bank,Credit Card,43092,27650,43,702000,Y,M
PSUN29CC3627,Q4,FY19,Retail,PSU Bank,Credit Card,36487,22771,29,681200,N,M
NBFCINCCL30AA02783,Q4,FY20,Retail,NBFC,Credit Card,28785,10562,45,703204,N,M
PVTN46CCL2017,Q4,FY19,Retail,PVT Bank,Credit Card,31779,17321,34,738936,N,M
NBFCINCCL30AA019821,Q4,FY21,Retail,NBFC,Credit Card,27664,17811,36,717162,N,M
PVTN85CCL9330,Q4,FY21,Retail,PVT Bank,Credit Card,20670,6220,45,775322,N,M
NBFCINCCL30AA05529,Q4,FY20,Retail,NBFC,Credit Card,25452,7479,40,761670,N,M
PVTN79CCL4487,Q4,FY20,Retail,PVT Bank,Credit Card,27772,10372,28,773482,N,F
NBFCINCCL30AA011794,Q4,FY19,Retail,NBFC,Credit Card,36915,22031,40,775845,Y,F
PVTN58CCL479,Q4,FY21,Retail,PVT Bank,Credit Card,38148,14271,56,766224,N,F
PVTN67CCL4466,Q4,FY21,Retail,PVT Bank,Credit Card,36435,14851,48,839954,N,M
NBFCINCCL30AA01683,Q4,FY20,Retail,NBFC,Credit Card,31137,12804,37,875379,Y,M
PVTN70CCL904,Q4,FY19,Retail,PVT Bank,Credit Card,41140,11279,60,864479,Y,M
PVTN47CCL10583,Q4,FY21,Retail,PVT Bank,Credit Card,44712,20894,51,918381,N,M
NBFCINCCL30AA02348,Q4,FY21,Retail,NBFC,Credit Card,32450,9912,46,910520,N,F
PVTN1CCL6541,Q4,FY20,Retail,PVT Bank,Credit Card,27132,16007,35,982908,N,F
PVTN44CCL11043,Q4,FY21,Retail,PVT Bank,Credit Card,21112,9208,26,930444,N,M
PVTN1CCL7477,Q4,FY21,Retail,PVT Bank,Credit Card,26520,10004,50,1033606,N,M
PVTN46CCL466,Q4,FY19,Retail,PVT Bank,Credit Card,32918,12164,42,1091903,N,M
PVTN71CCL11778,Q4,FY21,Retail,PVT Bank,Credit Card,37400,16218,53,1104272,N,M
PVTN2CCL1861,Q4,FY19,Retail,PVT Bank,Credit Card,31209,8262,44,1128120,Y,M
NBFCINCCL30AA019569,Q4,FY21,Retail,NBFC,Credit Card,40920,19920,54,1173224,N,M
NBFCINCCL30AA011680,Q4,FY20,Retail,NBFC,Credit Card,38556,12474,31,1222884,Y,F
PVTN39CCL10817,Q4,FY19,Retail,PVT Bank,Credit Card,34272,14602,20,1211474,N,M
PVTN61CCL5103,Q4,FY20,Retail,PVT Bank,Credit Card,42315,11098,56,1307240,N,M
NBFCINCCL30AA016936,Q4,FY21,Retail,NBFC,Credit Card,27032,12737,36,1202708,N,M
NBFCIN060TWL13,Q4,FY19,Retail,NBFC,Two-Wheeler Loan,67980,43243,25,1392820,N,M
NBFCIN060TWL92,Q4,FY19,Retail,NBFC,Two-Wheeler Loan,230050,138632,32,1311544,N,F
NBFCIN060TWL96,Q4,FY21,Retail,NBFC,Two-Wheeler Loan,54590,36930,57,934210,Y,F
NBFCIN95TWL9547,Q4,FY21,Retail,NBFC,Two-Wheeler Loan,68640,42966,46,981832,Y,M
NBFCIN88TWL2067,Q4,FY19,Retail,NBFC,Two-Wheeler Loan,54570,34221,44,781830,N,F
NBFCIN0TWL4989,Q4,FY19,Retail,NBFC,Two-Wheeler Loan,67320,46226,49,1780818,N,M
NBFCIN440TWL8886,Q4,FY21,Retail,NBFC,Two-Wheeler Loan,78100,46774,58,552744,Y,F
NBFCIN80TWL12299,Q4,FY21,Retail,NBFC,Two-Wheeler Loan,81000,42075,37,741703,N,M
NBFCIN240TWL1143,Q4,FY19,Retail,NBFC,Two-Wheeler Loan,55590,29942,23,1343534,N,M
NBFCIN380TWL7380,Q4,FY21,Retail,NBFC,Two-Wheeler Loan,69690,49749,39,490380,N,M
